region,lat,lon,node_id
PGE,45.40372999998228,-122.52955177262842,CRVR_LNODEWR3
CA,37.377307,-121.08567266,CRWSLDG_6_N001
PSE,46.953439,-121.47526466,CRYPSE_LNODERGS
CA,37.528913,-122.36106766,CRYSTLSG_6_N001
NWMT,46.120791,-111.44753366,CR_CR_US_LNODEOAD
BPAT,45.228813,-123.1598266,CSCDL_BP_LNODEURN
CA,37.353858999986436,-121.95587117992001,CSCGNRA1_7_N101
CA,37.353858999986436,-121.95598482007999,CSCGNRA2_7_N101
PGE,45.847609763950345,-119.67255766,CSP1_5_GNODECTG1
PGE,45.84752911800538,-119.67249015684531,CSP1_5_GNODESTG1
PGE,45.84752911800538,-119.67262384315468,CSP1_LNODEFN4
NWMT,45.871503,-106.7795166,CSTLROCK_LNODEOAD
CA,36.762604151493385,-121.73625384675148,CSTRVLLE_1_N001
CA,36.762604151493385,-121.73647815324854,CSTRVLLE_1_N003
CA,36.76278384840137,-121.73647815351131,CSTRVLLE_1_N004
APS,33.14469544719258,-112.67625304482442,CTL_7_HYD2_BESSGNODE
APS,33.14463212386927,-112.67632867357696,CTL_7_HYD_BESSGNODE
APS,33.02552953164642,-113.32808321478707,CTL_GNODEHY2
APS,33.02535046826251,-113.32808321500465,CTL_GNODEHYD
APS,33.02535046826251,-113.32829678499601,CTL_LNODE12A
APS,33.02552953164642,-113.32829678521294,CTL_LNODER4A
PSE,47.339167,-122.24166766,CTRDIST_LNODEXF2
CA,33.926051,-118.10606766,CTRPKGEN_7_B1
BPAT,45.7986,-119.371566,CTTNW_BP_LNODEOTD
APS,34.743473405896424,-112.0353549785312,CT_LNODE10A
APS,34.7432925940046,-112.03535497877199,CT_LNODE14A
APS,34.7432925940046,-112.03557502122867,CT_LNODE18A
APS,34.743473405896424,-112.03557502146887,CT_LNODE22A
SRP,33.465917,-111.77874966,CULBR_SR_LNODELD1
PSE,47.285556,-121.92566,CUM_LNODEXF1
BPAT,44.06208216,-123.057008466,CURRIN_LNODE2KV
NV,39.15854072491568,-119.76821166,CURRYST_LNODE80
NV,39.15846013752678,-119.76815099614245,CURRYST_LNODE81
NV,39.15846013752678,-119.76827100385756,CURRYST_LNODE82
CA,37.974949221777045,-120.32066866,CURTIS1_7_N001
CA,37.974867889096444,-120.32060843056675,CURTISS_1_N010
CA,37.974867889096444,-120.32072756943327,CURTISS_1_N101
TPWR,47.42392999998054,-123.22129322358269,CUSHMAN1_7_G21GNODE
TPWR,47.42392999998054,-123.22142677641733,CUSHMAN1_7_G22GNODE
TPWR,47.3687603835491,-123.15909654854967,CUSHMAN2_7_G31GNODE
TPWR,47.36857961629602,-123.15909654900703,CUSHMAN2_7_G32GNODE
TPWR,47.36857961629602,-123.15936345099297,CUSHMAN2_7_G33GNODE
TPWR,47.3687603835491,-123.15936345145036,CUSHMAN2_SYNCLNODE
NWMT,46.291691,-109.03579666,CUSHMN_P_LNODEOAD
AVA,48.341801048320995,-117.30239065418432,CUSICKPD_1_XF1LNODE
AVA,48.341801048320995,-117.3025255126579,CUSICKPD_1_XF2LNODE
TPWR,47.1799304340398,-122.54978694961531,CUSTERTP_FDR1LNODE
TPWR,47.17974956580628,-122.54978695006858,CUSTERTP_FDR2LNODE
TPWR,47.17974956580628,-122.55005304993145,CUSTERTP_FDR3LNODE
TPWR,47.1799304340398,-122.55005305038469,CUSTERTP_FDR4LNODE
PSE,48.930243,-122.65901766,CUS_LNODEXF1
NWMT,48.62439899998021,-112.31425727244121,CUTBANK_LNODEOAD
NWMT,48.62439899998021,-112.31439272755878,CUTBNK_P_LNODEOAD
APS,34.5402512620105,-111.87834866,CU_LNODE10A
APS,34.540169868981515,-111.87829095176404,CU_LNODER2A
APS,34.540169868981515,-111.87840504823596,CU_LNODER6A
SRP,38.56125102580034,-112.58030874950154,CVFRT_SR_LNODEAUX
PGE,45.048313,-122.96256166,CVNT_7_GNODE1
PGE,45.04894,-122.96920866,CVNT_LNODETLD
APS,34.753176241592236,-112.46581166,CV_LNODE10A
APS,34.75309487919048,-112.46575382659007,CV_LNODE14A
APS,34.75309487919048,-112.46586817340993,CV_LNODER6A
PSE,47.694722,-122.19777866,CWD_LNODEXF2
APS,33.449398,-112.36274166,CW_LNODE10A
APS,33.44939799995357,-112.36263348127943,CW_LNODE12A
APS,33.44930828924132,-112.36263348139066,CW_LNODE14A
APS,33.44924485423078,-112.36270950855146,CW_LNODE18A
APS,33.449229683953554,-112.36281547864743,CW_LNODE20A
APS,33.44926075539715,-112.36291634229721,CW_LNODE21A
